otu,kingdom,phylum,class,order,family,genus,species,representative_gene
358712,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__unclassified,number.1 gg_id:00000 some annotation
358798,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__unclassified,number.1 gg_id:00000 some annotation
359445,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
359792,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__unclassified,number.1 gg_id:00000 some annotation
359984,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
360238,k__Bacteria,p__Tenericutes,c__Erysipelotrichi,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Clostridium,s__unclassified,number.1 gg_id:00000 some annotation
360785,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Escherichia,s__unclassified,number.1 gg_id:00000 some annotation
361119,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__unclassified,number.1 gg_id:00000 some annotation
361312,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
361480,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
361496,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__unclassified,number.1 gg_id:00000 some annotation
361809,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Ruminococcus,s__unclassified,number.1 gg_id:00000 some annotation
362015,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
362539,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
362863,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Coprococcus,s__unclassified,number.1 gg_id:00000 some annotation
363400,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Eubacterium,s__unclassified,number.1 gg_id:00000 some annotation
363731,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Akkermansia,s__Akkermansia_muciniphila,number.1 gg_id:00000 some annotation
364034,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
364099,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Clostridium,s__unclassified,number.1 gg_id:00000 some annotation
364203,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio_desulfuricans,number.1 gg_id:00000 some annotation
364234,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__unclassified,number.1 gg_id:00000 some annotation
365047,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__unclassified,number.1 gg_id:00000 some annotation
365297,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
365319,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
365602,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
366044,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
366143,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
366374,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
36647,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
366882,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
368252,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
368950,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__unclassified,number.1 gg_id:00000 some annotation
369032,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Clostridium,s__unclassified,number.1 gg_id:00000 some annotation
369164,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
369389,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
369416,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
369685,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Eubacterium,s__unclassified,number.1 gg_id:00000 some annotation
371416,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__unclassified,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
371870,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
372432,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
373370,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
373909,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
37420,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
374370,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__unclassified,number.1 gg_id:00000 some annotation
375076,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__unclassified,number.1 gg_id:00000 some annotation
375786,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
376024,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RikenellaceaeII,g__unclassified,s__unclassified,number.1 gg_id:00000 some annotation
376333,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__unclassified,number.1 gg_id:00000 some annotation
